10/1/2017	1391	1158	1201
10/2/2017	1379	1439	1015
10/3/2017	1026	1288	1282
10/4/2017	1497	1063	1089
10/5/2017	1153	1107	1051
10/6/2017	1367	1351	1037
10/7/2017	1243	1079	1139
10/8/2017	1445	1187	1174
10/9/2017	1495	1095	1192
10/10/2017	1031	1441	1277
10/11/2017	1061	1312	1122
10/12/2017	1231	1382	1437
10/13/2017	1069	1018	1180
10/14/2017	1309	1358	1425
10/15/2017	1161	1376	1017
10/16/2017	1250	1401	1198
10/17/2017	1235	1341	1114
10/18/2017	1345	1089	1158
10/19/2017	1487	1110	1382
10/20/2017	1308	1165	1453
10/21/2017	1326	1058	1140
10/22/2017	1021	1176	1085
10/23/2017	1219	1190	1233
10/24/2017	1345	1057	1300
10/25/2017	1283	1491	1273
10/26/2017	1435	1483	1298
10/27/2017	1097	1102	1022
10/28/2017	1222	1218	1485
10/29/2017	1270	1108	1180
10/30/2017	1339	1372	1499
10/31/2017	1435	1181	1235
